,game_id,home_team,away_team,season_type,season,week,game_date,home_score,away_score,result,div_game,location,roof,surface,home_sp,home_yards_gained,home_yards_after_catch,home_epa,home_air_epa,home_yac_epa,home_comp_air_epa,home_comp_yac_epa,home_wpa,home_vegas_wpa,home_air_wpa,home_yac_wpa,home_comp_air_wpa,home_comp_yac_wpa,home_third_down_converted,home_fourth_down_converted,home_interception,home_fumble_lost,home_qb_hit,home_rush_attempt,home_pass_attempt,home_sack,home_touchdown,home_success,home_penalty,home_penalty_yards,away_sp,away_yards_gained,away_yards_after_catch,away_epa,away_air_epa,away_yac_epa,away_comp_air_epa,away_comp_yac_epa,away_wpa,away_vegas_wpa,away_air_wpa,away_yac_wpa,away_comp_air_wpa,away_comp_yac_wpa,away_third_down_converted,away_fourth_down_converted,away_interception,away_fumble_lost,away_qb_hit,away_rush_attempt,away_pass_attempt,away_sack,away_touchdown,away_success,away_penalty,away_penalty_yards,POST,REG,Home,Neutral,closed,dome,open,outdoors,,a_turf,astroplay,astroturf,fieldturf,grass,matrixturf,sportturf
21289,2015_08_SEA_DAL,DAL,SEA,REG,2015,8,2015-11-01,12,13,-1,0,Home,closed,matrixturf,0.0,19.0,13.0,-1.5500462,4.6232877,-4.6457353,0.6053645,1.3658681,-0.006665081,0.0035695732,0.0,0.03633389,0.0,0.10220018,1.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,-1.0,0.0,-5.121563,3.5736995,-4.6084647,0.0,0.0,-0.24035466,-0.27345893,0.0,-0.039438635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
15946,2020_06_KC_BUF,BUF,KC,REG,2020,6,2020-10-19,17,26,-9,0,Home,outdoors,astroturf,1.0,31.0,16.0,-0.0535084,-0.8258951,1.8133693,-0.0486601,3.0466523,0.000777103,0.0033997856,0.021500647,0.020577468,0.021500647,0.089072384,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0,3.0,0.0,0.0,1.0,47.0,7.0,3.6364207,2.059258,0.6189563,2.059258,0.6189563,0.16495588,0.10847628,0.104023255,0.007502258,0.104023255,0.007502258,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,1.0,4.0,0.0,0.0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
5912,2018_03_BUF_MIN,MIN,BUF,REG,2018,3,2018-09-23,6,27,-21,0,Home,dome,sportturf,0.0,34.0,20.0,-2.3261662,-2.9277303,2.1878731,-2.9669178,3.4961982,0.005808911,0.017571574,-0.0003695152,0.0020720914,-0.0003695152,0.0025075146,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,2.0,0.0,0.0,1.0,22.0,25.0,-2.539572,-2.1945753,4.469622,-2.1945753,4.469622,0.07236008,0.06507109,0.0,0.06612578,0.0,0.06612578,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,0.0,5.0,1.0,1.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
25061,2019_10_CAR_GB,GB,CAR,REG,2019,10,2019-11-10,24,16,8,0,Home,outdoors,grass,1.0,69.0,41.0,2.9663823,1.1503938,-0.53986835,-3.175057,5.7610645,0.08314079,0.06640433,0.013763666,-0.0061534643,0.013763666,0.03403318,0.0,0.0,0.0,0.0,1.0,3.0,9.0,0.0,1.0,9.0,0.0,0.0,0.0,41.0,8.0,-2.5633876,5.575619,-5.0620337,1.0692017,1.582262,-0.13290778,-0.10564475,0.025557503,-0.056839883,0.025557503,0.024219178,0.0,0.0,0.0,0.0,4.0,4.0,8.0,1.0,0.0,3.0,1.0,1.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
39727,2018_15_SEA_SF,SF,SEA,REG,2018,15,2018-12-16,26,23,3,1,Home,outdoors,grass,2.0,44.0,25.0,2.2254248,0.6022733,2.109764,0.9890645,2.7488782,0.03296771,0.11752406,0.0,0.07192754,0.0,0.11114954,0.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,45.0,0.0,2.4548855,5.242321,-3.1281514,2.8085246,0.0,0.018989079,0.05834882,0.08253408,-0.015003055,0.08253408,0.0,1.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,1.0,5.0,0.0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
27884,2022_11_LA_NO,NO,LA,REG,2022,11,2022-11-20,27,20,7,0,Home,dome,sportturf,0.0,44.0,11.0,0.96699166,0.51694155,0.90994436,1.0480964,1.529275,0.047743827,0.057288647,0.04498291,-0.008954406,0.04498291,0.022756875,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,26.0,12.0,-1.8076031,-0.20595294,-2.8943932,-1.2017972,1.5496349,-0.05246298,-0.06542969,0.0,-0.08676924,0.0,0.0061480105,0.0,1.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
5407,2022_02_TEN_BUF,BUF,TEN,REG,2022,2,2022-09-19,41,7,34,0,Home,outdoors,a_turf,1.0,57.0,4.0,1.7906194,0.686524,-1.9520516,-0.3706711,0.71899796,0.049920615,0.012846783,0.0,0.008810461,0.0,0.028881729,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,36.0,7.0,-2.3915422,6.08652,-7.6654196,2.8185794,0.44315934,-0.017902147,-0.015284696,-3.8366794e-05,0.0030156076,-3.8366794e-05,0.04436457,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
41256,2017_16_IND_BAL,BAL,IND,REG,2017,16,2017-12-23,23,16,7,0,Home,outdoors,grass,1.0,50.0,22.0,4.732504,0.18042874,4.0981255,0.18042874,4.0981255,0.1202749,0.022342019,0.0,0.11115748,0.0,0.11115748,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,6.0,2.0,2.0,1.0,19.0,14.0,-3.7829053,-1.0703839,1.8292567,-0.7474938,1.8717926,-0.1135392,-0.0076717325,0.033072412,-0.01426816,0.033072412,0.00030499697,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,5.0,0.0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
11615,2017_05_BAL_OAK,LV,BAL,REG,2017,5,2017-10-08,17,30,-13,0,Home,outdoors,grass,0.0,34.0,7.0,3.0308845,0.9857075,1.4902753,1.5511941,1.8789037,0.06544188,0.010941863,-0.007699266,0.042244613,0.0,0.05820982,3.0,0.0,0.0,0.0,1.0,3.0,5.0,1.0,0.0,4.0,0.0,0.0,2.0,84.0,14.0,2.4564395,2.4602077,1.6137791,2.160058,2.2140713,0.010810073,0.05043488,0.0,0.092712104,0.0,0.104466856,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,5.0,0.0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
25756,2016_10_HOU_JAX,JAX,HOU,REG,2016,10,2016-11-13,21,24,-3,1,Home,outdoors,grass,0.0,55.0,6.0,-1.8273059,3.1043613,-2.0090842,2.430795,0.62334555,-0.11395393,-0.08591824,0.07739124,-0.085001186,0.07739124,-0.00422737,0.0,0.0,0.0,0.0,2.0,4.0,9.0,1.0,0.0,5.0,0.0,0.0,1.0,22.0,16.0,1.0250592,0.1297031,1.3080564,-0.97764844,2.7814202,0.07424297,0.07838652,0.0,0.06574446,0.0,0.08981764,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
